"2314","1658 WILSON ST, San Luis Obispo, California, 93401","Match","Exact","1658 WILSON ST, SAN LUIS OBISPO, CA, 93401","-120.654979021632,35.291000219256","109733841","L","06","079","011002","2006"
"4","195 N SANTA ROSA ST, San Luis Obispo, California, 93401","No_Match"
"2313","1264 HIGUERA ST STE 108-A, San Luis Obispo, California, 93401","Match","Non_Exact","1264 HIGUERA ST, SAN LUIS OBISPO, CA, 93401","-120.657068811566,35.283362447094","109732103","L","06","079","011101","1020"
"5","1519 FROOM RANCH WAY STE A BLDG E, San Luis Obispo, California, 93401","Match","Non_Exact","1519 FROOM RANCH WAY, SAN LUIS OBISPO, CA, 93405","-120.687969391815,35.252327096292","109860097","L","06","079","011300","1013"
"6","4251 S HIGUERA ST STE 300, San Luis Obispo, California, 93401","No_Match"
"2310","441 LUNETA DR, San Luis Obispo, California, 93401","Match","Non_Exact","441 LUNETA DR, SAN LUIS OBISPO, CA, 93405","-120.677360374993,35.291250864597","109731852","R","06","079","011202","1019"
"8","357 SAGE ST, San Luis Obispo, California, 93401","Match","Exact","357 SAGE ST, SAN LUIS OBISPO, CA, 93401","-120.662625480472,35.255448867148","642779981","R","06","079","011103","2010"
"3641","563 HIGUERA ST, San Luis Obispo, California, 93401","Match","Exact","563 HIGUERA ST, SAN LUIS OBISPO, CA, 93401","-120.666768284753,35.277436877017","109766503","R","06","079","011101","2043"
"4972","324 N CHORRO ST # 5, San Luis Obispo, California, 93401","Match","Non_Exact","324 N CHORRO ST, SAN LUIS OBISPO, CA, 93405","-120.672215259289,35.295830019627","645469261","R","06","079","011201","1022"
"3642","2310 BROAD ST, San Luis Obispo, California, 93401","Match","Exact","2310 BROAD ST, SAN LUIS OBISPO, CA, 93401","-120.655039380501,35.267976259139","109732560","R","06","079","011104","1025"
"4973","2945 MCMILLAN AVE STE 136, San Luis Obispo, California, 93401","Match","Exact","2945 MCMILLAN AVE, SAN LUIS OBISPO, CA, 93401","-120.648175987098,35.262973050334","109794676","L","06","079","011104","1037"
"4974","860 HIGUERA ST, San Luis Obispo, California, 93401","Match","Exact","860 HIGUERA ST, SAN LUIS OBISPO, CA, 93401","-120.662189543205,35.280337905982","109766576","L","06","079","011101","2027"
"3644","253 GRANADA DR A, San Luis Obispo, California, 93401","Match","Non_Exact","253 GRANADA DR, SAN LUIS OBISPO, CA, 93401","-120.667201305237,35.251065867858","109733537","R","06","079","011103","2019"
