closure_time,censor,500m_5yr_churn,Business type,Rate type (STD),cluster,ft to downtown,is_downtown_association,is_home_occ,sq(ft),start_year,type,zone,zone_type
5660.0,0,0.180327868852459,Rental- Residential,Residential Rental,3,4211.106074310885,0,0,6005.782165722619,2010,Rental,R-1,Residential
3217.0,0,0.252906976744186,Medical Services,Professional Service,0,1475.3524132508546,0,0,5970.320769207885,2017,Service,O,Office
599.0,1,0.1470588235294117,Retail,Downtown Association,0,0.0,1,0,8746.463315411262,2008,Downtown Association,C,Commercial
2435.0,0,0.3076923076923077,Rental- Residential,Residential Rental,1,8212.219567480515,0,0,212492.3100661621,2019,Rental,R-2,Residential
2332.0,1,0.3113636363636363,Miscellaneous Business,General Service,0,63.71962411691587,0,0,18925.86233677276,2013,Service,C,Commercial
2804.0,1,0.1764705882352941,Rental- Residential,Residential Rental,3,5059.457849544091,0,0,8668.066919876814,2010,Rental,R-1,Residential
4009.0,1,0.3826086956521739,Attorney at Law,Downtown Association,0,0.0,1,0,12104.813733428864,2013,Downtown Association,C,Commercial
2422.0,1,0.1489361702127659,Rental- Residential,Residential Rental,4,11723.054286484785,0,0,282663.4622377588,2010,Rental,R-2,Residential
4554.0,0,0.2571428571428571,Medical Services,General Service,0,2388.408086245444,0,0,50588.49310369623,2013,Service,C,Commercial
544.0,1,0.2008733624454148,Medical Services,General Service,3,2998.112424072155,0,0,383141.7608013191,2023,Service,O,Office
3508.0,1,0.0,Medical Services,Professional Service,0,2478.66957441293,0,0,66144.1351272841,1996,Service,O,Office
623.0,0,0.25,Food Store,General Service,1,16611.084400673535,0,0,45217.63094860744,2024,Service,C,Commercial
425.0,1,0.2232142857142857,Retail,Downtown Association,0,0.0,1,0,36099.68329911458,2009,Downtown Association,C,Commercial
512.0,1,0.3324775353016688,Beauty Salon,Downtown Association,0,0.0,1,0,5029.93345946748,2023,Downtown Association,C,Commercial
602.0,1,0.2982456140350877,Consultant,Professional Service,2,8935.549108475205,0,0,85640.01699504977,2020,Service,C,Commercial
962.0,0,0.2244897959183673,Homestay,General Service,3,4389.961771115234,0,0,3943.875238608639,2023,Service,R-1,Residential
1055.0,0,0.2083333333333333,Retail,General Retailer,1,16056.505801842228,0,0,51413.00310628498,2023,Retail,C,Commercial
10717.0,0,0.0,Retail,General Retailer,0,950.596764690623,0,0,6213.588992665539,1996,Retail,C,Commercial
